frame,altitude,airspeed,direction
0,0.08,0,28.2
1,0.08,0,28.2
2,0.08,0,28.2
3,0.08,0,28.2
4,0.08,0,28.2
5,0.08,0,28.2
6,0.08,0,28.2
7,0.08,0,28.2
8,0.08,0,28.2
9,0.08,0,28.2
10,0.08,0,28.2
11,0.08,0,28.2
12,0.08,0,28.2
13,0.08,0,28.2
14,0.08,0,28.2
15,0.08,0,28.2
16,0.08,0,28.2
17,0.08,0,28.2
18,0.08,0,28.2
19,0.08,0,28.2
20,0.08,0,28.2
21,0.08,0,28.2
22,0.08,0,28.2
23,0.08,0,28.2
24,0.08,0,28.2
25,0.08,0,28.2
26,0.08,0,28.2
27,0.08,0,28.2
28,0.08,0,28.2
29,0.08,0,28.2
30,0.08,0,28.2
31,0.08,0,28.2
32,0.08,0,28.2
33,0.08,0,28.2
34,0.08,0,28.2
35,0.08,0,28.2
36,0.08,0,28.2
37,0.08,0,28.2
38,0.08,0,28.2
39,0.08,0,28.2
40,0.08,0,28.2
41,0.08,0,28.2
42,0.08,0,28.2
43,0.08,0,28.2
44,0.08,0,28.2
45,0.08,0,28.2
46,0.08,0,28.2
47,0.08,0,28.2
48,0.08,0,28.2
49,0.08,0,28.2
50,0.08,0,28.2
51,0.08,0,28.2
52,0.08,0,28.2
53,0.08,0,28.2
54,0.08,0,28.2
55,0.08,0,28.2
56,0.08,0,28.2
57,0.08,0,28.2
58,0.08,0,28.2
59,0.08,0,28.2
60,0.08,0,28.2
61,0.08,0,28.2
62,0.08,0,28.2
63,0.08,0,28.2
64,0.08,0,28.2
65,0.08,0,28.2
66,0.08,0,28.2
67,0.08,0,28.2
68,0.08,0,28.2
69,0.08,0,28.2
70,0.08,0,28.2
71,0.08,0,28.2
72,0.08,0,28.2
73,0.08,0,28.2
74,0.08,0,28.2
75,0.08,0,28.2
76,0.08,0,28.2
77,0.08,0,28.2
78,0.08,0,28.2
79,0.08,0,28.2
80,0.08,0,28.2
81,0.08,0,28.2
82,0.08,0,28.2
83,0.08,0,28.2
84,0.08,0,28.2
85,0.08,0,28.2
