frame,altitude,airspeed,direction
2010,23.1,31.8,29.35
2011,23.1,31.8,29.35
2012,23.1,31.8,29.35
2013,23.1,31.8,29.35
2014,23.1,31.8,29.35
2015,23.1,31.8,29.35
2016,23.1,31.8,29.35
2017,23.1,31.8,29.35
2018,23.1,31.8,29.35
2019,23.1,31.8,29.35
2020,23.1,31.8,29.35
2040,23.1,31.8,29.35
2060,23.1,31.8,29.35
2430,23.05,31.5,29.0
2640,23.01,31.6,28.9
2755,26.38,35.7,33.4
2756,26.38,35.7,33.4
2757,26.38,35.7,33.4
2758,26.38,35.7,33.4
2759,26.38,35.7,33.4
2760,26.38,35.7,33.4
2761,26.38,35.7,33.4
2762,26.38,35.7,33.4
2763,26.38,35.7,33.4
2764,26.38,35.7,33.4
2765,26.38,35.7,33.4
2766,26.38,35.7,33.4
2767,26.38,35.7,33.4
2768,26.38,35.7,33.4
2769,26.38,35.7,33.4
2770,26.38,35.7,33.4
2771,26.38,35.7,33.4
2772,26.38,35.7,33.4
2773,26.38,35.7,33.4
2774,26.38,35.7,33.4
2754,23.0,31.5,28.9
2760,26.39,35.6,33.4
3720,25.45,39.3,33.2
4170,25.7,38.3,32.4
4277,25.24,39.1,31.8
4800,25.42,37.5,30.25
5400,25.6,35.5,28.8
6000,27.5,27,34.6
6285,27.25,24.4,31.5
6420,26.91,24.7,31.5
6580,26.48,27.4,32.2
6591,26.45,27.5,32.3
6592,26.45,27.5,32.3
6593,26.45,27.5,32.3
6594,26.45,27.5,32.3
6595,26.45,27.5,32.3
6596,26.45,27.5,32.3
6597,26.45,27.5,32.3
6598,26.45,27.5,32.3
6599,26.45,27.5,32.3
6600,26.4,27.5,32.3
7723,13.95,50.2,35
7788,13.3,49.2,35.1
7789,13.29,49.2,35.1
7790,13.29,49.2,35.1
7791,13.29,49.2,35.1
7792,13.28,49.2,35.1
7793,13.28,49.1,35.1
7794,13.27,49.1,35.1
7795,13.27,49.1,35.1
7796,13.26,49.1,35.1
7797,13.26,49.0,35.1
7798,13.26,49.0,35.1
7799,13.25,49.0,35.1
7800,13.25,48.9,35.1
7801,13.25,48.9,35.1
7802,13.25,48.9,35.1
7803,13.25,48.9,35.1
7804,13.25,48.9,35.1
7805,13.25,48.9,35.1
7806,13.25,48.9,35.1
7807,13.25,48.9,35.1
7808,13.25,48.9,35.1
7809,13.25,48.9,35.1
7810,13.19,48.9,35.1
7811,13.19,48.8,35.1
7812,13.19,48.7,35.1
7813,13.19,48.6,35.1
7814,13.19,48.5,35.1
7815,13.19,48.4,35.1
7816,13.19,48.3,35.1
7817,13.19,48.2,35.1
7818,13.19,48.1,35.1
7819,13.19,48.0,35.1
7820,13.19,48.0,35.1
8314,16.35,36.5,13.05
8315,16.35,36.5,13.1
8316,16.35,36.5,13.2
8317,16.35,36.5,13.3
8318,16.35,36.5,13.3
8319,16.36,36.5,13.4
8320,16.36,36.5,13.4
8321,16.36,36.5,13.5
8322,16.36,36.5,13.5
8323,16.36,36.5,13.5
8324,16.36,36.5,13.5
8325,16.37,36.5,13.5
8326,16.37,36.5,13.6
8327,16.37,36.5,13.6
8328,16.37,36.5,13.6
8329,16.37,36.5,13.6
8330,16.37,36.4,13.7
8331,16.37,36.4,13.7
8332,16.38,36.4,13.8
8333,16.38,36.4,13.8
8334,16.38,36.3,13.8
8335,16.38,36.3,13.9
8336,16.38,36.3,13.9
8337,16.38,36.3,13.9
8338,16.40,36.3,13.9
8339,16.40,36.2,14
8340,16.40,36.2,14
8341,16.40,36.2,14.1
8342,16.40,36.2,14.1
8343,16.41,36.1,14.2
8344,16.41,36.1,14.2
8345,16.41,36.1,14.3
8346,16.41,36.1,14.3
8347,16.41,36.0,14.4
8348,16.41,36.0,14.4
8349,16.41,36.0,14.4
8350,16.43,35.9,14.5
